/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_31_791.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_31_791.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_31_791.jpg, 0, 0, 0, 7.801528E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_31_894.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_31_894.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_31_894.jpg, 0, 0, 0, 7.941358E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_31_997.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_31_997.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_31_997.jpg, 0, 0, 0, 7.871505E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_100.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_100.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_100.jpg, 0, 0, 0, 7.96203E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_205.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_205.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_205.jpg, 0, 0, 0, 7.815011E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_309.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_309.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_309.jpg, 0, 0, 0, 8.083411E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_413.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_413.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_413.jpg, 0, 0, 0, 8.114823E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_527.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_527.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_527.jpg, 0, 0, 0, 7.88016E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_630.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_630.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_630.jpg, 0, 0, 0, 7.842069E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_736.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_736.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_736.jpg, 0, 0, 0, 8.10794E-05
/Users/samming/Desktop/behavior clone project/myTrain2/IMG/center_2018_07_02_11_41_32_839.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/left_2018_07_02_11_41_32_839.jpg, /Users/samming/Desktop/behavior clone project/myTrain2/IMG/right_2018_07_02_11_41_32_839.jpg, 0, 0, 0, 7.838957E-05
